Unnamed: 0,accountingchange,amended,audited,capitalexpenditures,cashandcashequivalents,cashcashequivalentsandshortterminvestments,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,cfdepreciationamortization,changeinaccountsreceivable,changeincurrentassets,changeincurrentliabilities,changeininventories,commonstock,company_cik,company_symbol,costofrevenue,created_at,crosscalculated,currencycode,dcn,deferredcharges,discontinuedoperations,dividendspaid,ebit,effectofexchangerateoncash,equityearnings,extraordinaryitems,goodwill,grossprofit,incomebeforetaxes,intangibleassets,interestexpense,inventoriesnet,investmentchangesnet,minorityinterest,name,netchangeincash,netincome,netincomeapplicabletocommon,original,otherassets,othercurrentassets,othercurrentliabilities,otherequity,otherliabilities,period,periodenddate,periodlength,periodlengthcode,preferredstock,preliminary,propertyplantequipmentnet,quarter,receiveddate,researchdevelopmentexpense,restated,retainedearnings,sellinggeneraladministrativeexpenses,totaladjustments,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity,treasurystock,updated_at,usdconversionrate,year,Sector
2,,FALSE,TRUE,-40278000,290291000,748078000,5589000,-244740000,21586000,1702083000,,-5432000,25539000,,56000,1065280,NFLX,2652058000,02:20.6,FALSE,USD,0001065280-15-000006,,,,49992000,-197000,,0,,957224000,30480000,,-19986000,,-165003000,,10-K,-217762000,17152000,17152000,FALSE,89410000,1492713000,1366847000,,1147291000,ann,12/31/2012,12,m,0,FALSE,131681000,4,1/29/2015,329008000,FALSE,440082000,578224000,4434000,3967890000,2240791000,1675926000,3223217000,400000000,,3609282000,,744673000,,02:20.6,1,2012,Technology
3,,FALSE,TRUE,-49682000,508053000,797811000,261656000,-265814000,317712000,839619000,,1436000,111141000,,55000,1065280,NFLX,2039901000,02:20.6,FALSE,USD,0001065280-14-000006,,,,376068000,0,,0,,1164676000,359522000,,-20025000,,-134652000,,10-K,313554000,226126000,226126000,FALSE,55052000,977039000,935036000,,801331000,ann,12/31/2011,12,m,0,FALSE,136353000,4,2/3/2014,259033000,FALSE,422930000,529575000,91586000,3069196000,1830857000,1225055000,2426386000,400000000,,3204577000,,642810000,,02:20.6,1,2011,Technology
0,,FALSE,TRUE,-204000000,966000000,966000000,-1918000000,-205000000,1623000000,106000000,-3000000,-157000000,413000000,-154000000,0,1275283,RAI,4058000000,02:26.3,FALSE,USD,0001193125-15-040558,,25000000,-1411000000,2531000000,-34000000,,,8016000000,4413000000,2262000000,2421000000,-286000000,1281000000,,,10-K,-534000000,1470000000,1470000000,TRUE,233000000,,1100000000,,117000000,ann,12/31/2014,12,m,,FALSE,1203000000,4,2/10/2015,,FALSE,-1314000000,1871000000,153000000,15196000000,3323000000,3544000000,10674000000,4633000000,169000000,8471000000,450000000,4522000000,,02:26.3,1,2014,Non-Cyclical Consumer Goods & Services
1,,FALSE,TRUE,-153000000,1500000000,1500000000,-2207000000,-113000000,1308000000,103000000,-18000000,-151000000,-858000000,-143000000,0,1275283,RAI,3678000000,02:26.3,FALSE,USD,0001193125-15-040558,,0,-1335000000,3132000000,10000000,,,8011000000,4558000000,2741000000,2417000000,-259000000,1127000000,,,10-K,-1002000000,1718000000,1718000000,FALSE,245000000,,1116000000,,181000000,ann,12/31/2013,12,m,,FALSE,1074000000,4,2/10/2015,,FALSE,-1348000000,1389000000,-410000000,15402000000,3655000000,3076000000,10235000000,5099000000,215000000,8236000000,0,5167000000,,02:26.3,1,2013,Non-Cyclical Consumer Goods & Services
2,,FALSE,TRUE,-88000000,2502000000,2502000000,-971000000,-54000000,1568000000,131000000,11000000,-1000000,-11000000,-17000000,0,1275283,RAI,4321000000,02:26.3,FALSE,USD,0001193125-15-040558,,0,-1307000000,2214000000,3000000,,,8011000000,3983000000,1953000000,2455000000,-234000000,984000000,,,10-K,546000000,1272000000,1272000000,FALSE,242000000,,990000000,,214000000,ann,12/31/2012,12,m,,FALSE,1037000000,4,2/10/2015,,FALSE,-1707000000,1470000000,296000000,16557000000,4812000000,3769000000,11300000000,5035000000,199000000,8304000000,60000000,5257000000,,02:26.3,1,2012,Non-Cyclical Consumer Goods & Services
3,,FALSE,TRUE,-190000000,1956000000,1956000000,-1714000000,60000000,1420000000,138000000,12000000,68000000,-279000000,88000000,0,1275283,RAI,4464000000,02:26.3,FALSE,USD,0001193125-14-044598,,,-1212000000,2399000000,-5000000,,,8010000000,4077000000,2186000000,2602000000,-221000000,967000000,,,10-K,-239000000,1406000000,1406000000,FALSE,265000000,,1132000000,,251000000,ann,12/31/2011,12,m,,FALSE,1070000000,4,2/11/2014,,FALSE,-1660000000,1606000000,14000000,16254000000,4307000000,4276000000,10003000000,3206000000,214000000,8541000000,457000000,6251000000,,02:26.3,1,2011,Non-Cyclical Consumer Goods & Services
0,,FALSE,TRUE,-1811398000,189241000,189241000,17480000,-1770378000,1743759000,772445000,100095000,167426000,-9152000,26254000,2331000,884887,RCL,5306281000,02:26.3,FALSE,USD,0000884887-15-000025,,,-198952000,941859000,-6307000,,0,420542000,2767574000,764146000,,-258299000,123490000,-44330000,,10-K,-15446000,764146000,764146000,TRUE,1255997000,0,2033900000,,935266000,ann,12/31/2014,12,m,0,FALSE,18235568000,4,2/23/2015,,FALSE,6575248000,1048952000,979613000,20713190000,801083000,3849247000,12428831000,7644318000,261392000,8073855000,799630000,8284359000,-649778000,02:26.3,1,2014,Cyclical Consumer Goods & Services
1,,FALSE,TRUE,-763777000,204687000,204687000,-576626000,-824538000,1412068000,754711000,95401000,68423000,45979000,-4321000,2308000,884887,RCL,5305270000,02:26.3,FALSE,USD,0000884887-15-000025,,,-143629000,798148000,-1072000,,-4206000,439231000,2654624000,477898000,,-332422000,151244000,-29916000,,10-K,9832000,473692000,473692000,FALSE,1159590000,87845000,1688967000,,486246000,ann,12/31/2013,12,m,0,FALSE,17517752000,4,2/23/2015,,FALSE,6054952000,1044819000,938376000,20072947000,956374000,4267010000,11264682000,6511426000,259746000,7959894000,1563378000,8808265000,-413704000,02:26.3,1,2013,Cyclical Consumer Goods & Services
2,,FALSE,TRUE,-1291499000,194855000,194855000,-179617000,-1263323000,1381734000,730493000,8026000,4767000,157609000,-1645000,2291000,884887,RCL,5157434000,02:26.3,FALSE,USD,0000884887-15-000025,,,-117707000,403110000,-6125000,,-7501000,432975000,2530590000,25788000,,-355785000,146295000,34398000,,10-K,-67331000,18287000,18287000,FALSE,1055861000,57827000,1546993000,,482566000,ann,12/31/2012,12,m,0,FALSE,17451034000,4,2/23/2015,,FALSE,5744791000,1011543000,1363447000,19827930000,888060000,4066151000,11519181000,6970464000,281421000,7688024000,1519483000,8308749000,-413704000,02:26.3,1,2012,Cyclical Consumer Goods & Services
3,,FALSE,TRUE,-1173626000,262186000,262186000,-676515000,-924565000,1455739000,702426000,87872000,52397000,73002000,-18423000,2276000,884887,RCL,4942607000,02:26.3,FALSE,USD,0000884887-14-000023,,,-21707000,931628000,-12402000,,0,746537000,2594656000,607421000,,-382416000,144553000,-126967000,,10-K,-157743000,607421000,607421000,FALSE,1153763000,84642000,1436003000,,471978000,ann,12/31/2011,12,m,0,FALSE,16934817000,4,2/20/2014,,FALSE,5823430000,960602000,848318000,19804405000,969288000,3067642000,11396582000,7856962000,292447000,7537263000,638891000,8407823000,-413704000,02:26.3,1,2011,Cyclical Consumer Goods & Services
