,index,capitalexpenditures,cashandcashequivalents,cashcashequivalentsandshortterminvestments,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,cfdepreciationamortization,changeinaccountsreceivable,changeincurrentassets,changeincurrentliabilities,commonstock,costofrevenue,dividendspaid,ebit,effectofexchangerateoncash,equityearnings,goodwill,grossprofit,incomebeforetaxes,intangibleassets,interestexpense,investmentchangesnet,minorityinterest,netchangeincash,netincome,netincomeapplicabletocommon,otherassets,othercurrentassets,othercurrentliabilities,otherequity,otherliabilities,preferredstock,propertyplantequipmentnet,researchdevelopmentexpense,retainedearnings,sellinggeneraladministrativeexpenses,totaladjustments,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity,treasurystock
430,322,-2097333333.33,2152333333.33,2466333333.33,1597000000.0,-2564333333.33,1309666666.67,1405333333.33,-119000000.0,-209666666.667,74000000.0,4000000.0,8680000000.0,-133333333.333,648333333.333,-5333333.33333,33333333.3333,2171666666.67,3181666666.67,-138333333.333,1639000000.0,-876000000.0,453000000.0,1099000000.0,337000000.0,14333333.3333,-10333333.3333,1962000000.0,141666666.667,2197333333.33,0.0,3019333333.33,80358333.3333,20790333333.3,81000000.0,3837666666.67,917666666.667,1278000000.0,36516666666.7,8050000000.0,4577666666.67,26541666666.7,17134333333.3,1443000000.0,11861666666.7,557000000.0,9705000000.0,-1948333333.33
431,332,-1809488750.0,241987000.0,241987000.0,903926500.0,-2098519750.0,1230134500.0,334638750.0,30267250.0,89678250.0,-83819750.0,2458000.0,10319128750.0,-665357500.0,1028082000.0,-13889966.6667,100447500.0,2286018731.48,1945092500.0,753830250.0,439166666.667,-290363250.0,27796000.0,2396274250.0,35541250.0,325463250.0,325463250.0,1373129500.0,451244500.0,629749000.0,0.0,271163500.0,80358333.3333,9863266000.0,81000000.0,1544585250.0,451031416.667,544298750.0,15649487750.0,2198860000.0,2795461000.0,13824950750.0,6497877250.0,1158291250.0,12264221250.0,918864000.0,1824537000.0,-981458000.0
432,341,-4675500000.0,340250000.0,667500000.0,617000000.0,-4583250000.0,3931250000.0,2249250000.0,-116750000.0,-146500000.0,28250000.0,9000250000.0,11460000000.0,-765000000.0,1961750000.0,-13889966.6667,50758791.6667,2286018731.48,4211000000.0,1314000000.0,439166666.667,-713000000.0,1504000000.0,252000000.0,-35000000.0,991500000.0,977500000.0,9398250000.0,2822750000.0,3280750000.0,0.0,10491250000.0,0.0,39092750000.0,81000000.0,4879250000.0,451031416.667,2939750000.0,54482750000.0,5991750000.0,6854500000.0,40666500000.0,13012500000.0,2053000000.0,15671000000.0,1321250000.0,13816250000.0,-1588432885.42
433,346,-2572000000.0,527000000.0,527000000.0,-738250000.0,-2396750000.0,3165500000.0,1289750000.0,-50652916.6667,127750000.0,-287000000.0,4848250000.0,6759500000.0,-721750000.0,2485500000.0,-13889966.6667,10000000.0,16000000.0,3669000000.0,2216500000.0,70500000.0,-422250000.0,54250000.0,1250000.0,30500000.0,1384750000.0,1384750000.0,6369000000.0,388750000.0,1165000000.0,0.0,1555000000.0,80358333.3333,20704750000.0,81000000.0,7252750000.0,451031416.667,1780750000.0,32350250000.0,3878250000.0,3318750000.0,21139500000.0,7567750000.0,1560750000.0,10428500000.0,733500000.0,11210750000.0,-614500000.0
434,359,-925214250.0,19228750.0,19228750.0,-266288250.0,-896767500.0,1137409750.0,490963750.0,-10612500.0,-1749250.0,24477000.0,2478924500.0,1975399750.0,-246831000.0,813957000.0,-13889966.6667,50758791.6667,2286018731.48,1396961000.0,627626500.0,439166666.667,-214862250.0,440678500.0,133954500.0,-25646000.0,381171000.0,381171000.0,1829543250.0,154291250.0,541434500.0,0.0,1707118500.0,80358333.3333,10457950250.0,81000000.0,1717480750.0,451031416.667,726468250.0,13578212750.0,994810000.0,1401008500.0,9489058000.0,3011455500.0,427646000.0,3372360750.0,479239250.0,4089154750.0,-4159250.0
435,360,-1172500000.0,42750000.0,57500000.0,179250000.0,-838250000.0,657250000.0,475250000.0,14000000.0,28000000.0,-57500000.0,2500000.0,3266750000.0,-258500000.0,591500000.0,-13889966.6667,0.0,1407000000.0,1516500000.0,366500000.0,439166666.667,-259750000.0,29500000.0,543246565.789,-1750000.0,143000000.0,143000000.0,2903750000.0,38000000.0,372500000.0,0.0,477000000.0,80358333.3333,9319000000.0,81000000.0,827250000.0,451031416.667,514250000.0,15304750000.0,1297000000.0,2195500000.0,10925750000.0,4282500000.0,925500000.0,4783250000.0,1146000000.0,4346750000.0,-1588432885.42
436,362,-3473500000.0,1239000000.0,1390250000.0,2007250000.0,-4674750000.0,2882750000.0,1337250000.0,-82500000.0,-13250000.0,40750000.0,6250000.0,4715750000.0,-856000000.0,2919250000.0,-8750000.0,50758791.6667,4125500000.0,7306500000.0,1958500000.0,965500000.0,-966750000.0,159000000.0,143000000.0,206500000.0,1472000000.0,1472000000.0,3262500000.0,53500000.0,2380750000.0,0.0,2920000000.0,80358333.3333,31245500000.0,81000000.0,5611500000.0,451031416.667,1405000000.0,45351250000.0,5701500000.0,5808750000.0,33500750000.0,19041500000.0,1755500000.0,12022250000.0,1499500000.0,11850500000.0,-1588432885.42
437,388,-1039750000.0,93500000.0,93500000.0,261500000.0,-1098500000.0,857500000.0,426000000.0,-50652916.6667,-68000000.0,71000000.0,2329000000.0,3030250000.0,-270000000.0,897250000.0,-13889966.6667,50758791.6667,2286018731.48,1477500000.0,659250000.0,439166666.667,-297000000.0,-8000000.0,543246565.789,20500000.0,454000000.0,454000000.0,1683500000.0,134000000.0,524000000.0,2010750000.0,1497000000.0,80358333.3333,11507500000.0,81000000.0,2564000000.0,451031416.667,403500000.0,15041500000.0,1646000000.0,1857000000.0,10618000000.0,5124250000.0,794000000.0,4507750000.0,748250000.0,4423500000.0,-1588432885.42
438,401,-5193500000.0,828000000.0,831750000.0,-237250000.0,-5375250000.0,5678250000.0,2196000000.0,-50652916.6667,56250000.0,166500000.0,2094814945.65,10257250000.0,-1796500000.0,4409750000.0,-13889966.6667,50758791.6667,2286018731.48,7179750000.0,3200750000.0,439166666.667,-843750000.0,1282750000.0,543246565.789,65750000.0,2106000000.0,2040000000.0,5934250000.0,382500000.0,1675250000.0,705361000.0,5607500000.0,80358333.3333,50093750000.0,81000000.0,4210234072.46,451031416.667,3572250000.0,64471250000.0,6104500000.0,7020750000.0,44591750000.0,20026500000.0,1892750000.0,17437000000.0,2955750000.0,19494750000.0,-1588432885.42
439,405,-2873750000.0,550250000.0,576500000.0,770250000.0,-2814750000.0,1943000000.0,1083750000.0,32000000.0,-179000000.0,-251000000.0,2303500000.0,7123000000.0,-616000000.0,1689500000.0,1500000.0,83250000.0,1025500000.0,3195750000.0,1359250000.0,431250000.0,-517750000.0,941500000.0,585000000.0,-100000000.0,1093750000.0,1088000000.0,4765250000.0,819000000.0,1121500000.0,-500000.0,5105750000.0,0.0,25004500000.0,81000000.0,8692250000.0,451031416.667,780250000.0,36681000000.0,3552000000.0,4462000000.0,26023750000.0,11279750000.0,1514000000.0,10318750000.0,1487500000.0,10597750000.0,-1588432885.42
440,419,-575775000.0,140125000.0,140125000.0,5925000.0,-705625000.0,675425000.0,335125000.0,-50652916.6667,-1650000.0,17425000.0,221975000.0,1455200000.0,-193125000.0,474800000.0,-13889966.6667,50758791.6667,204150000.0,957625000.0,317975000.0,439166666.667,-169575000.0,-3950000.0,543246565.789,-24275000.0,184525000.0,184525000.0,342275000.0,70725000.0,334125000.0,0.0,1108600000.0,80358333.3333,6367350000.0,81000000.0,528450000.0,451031416.667,490900000.0,7739675000.0,817500000.0,804900000.0,5355800000.0,3000575000.0,281650000.0,2412825000.0,231033333.333,2383875000.0,-1588432885.42
441,462,-740325000.0,34400000.0,45775000.0,-358475000.0,-781175000.0,1149000000.0,381925000.0,-3450000.0,-10875000.0,-1325000.0,2094814945.65,3067400000.0,-299800000.0,1019950000.0,-13889966.6667,65675000.0,441900000.0,1494825000.0,807975000.0,439166666.667,-244400000.0,-11475000.0,543246565.789,9350000.0,559550000.0,559550000.0,1481825000.0,50175000.0,185425000.0,4187775000.0,1169625000.0,30400000.0,10724225000.0,81000000.0,4210234072.46,451031416.667,589450000.0,14519975000.0,1446325000.0,1492750000.0,10301800000.0,4404425000.0,672775000.0,4562225000.0,857625000.0,4218175000.0,-1588432885.42
442,474,-2842723000.0,82439750.0,106261500.0,310010750.0,-2727844500.0,2410626500.0,1078158750.0,-127748500.0,-166790750.0,-45219000.0,1236348750.0,7349005500.0,-509242500.0,1849992500.0,-13889966.6667,30167250.0,2286018731.48,3497007000.0,1380395500.0,439166666.667,-583664750.0,1312186250.0,543246565.789,-7207250.0,928985250.0,927286750.0,4567853500.0,404267750.0,1071603000.0,0.0,3721490500.0,80358333.3333,25260447500.0,81000000.0,2618828250.0,451031416.667,1481641250.0,32875831750.0,3047530750.0,3561198250.0,23591655000.0,10350701500.0,1452414250.0,10846012500.0,1114016500.0,9284176750.0,-1588432885.42
443,40,-10033750000.0,782500000.0,782500000.0,467750000.0,-9497250000.0,9188250000.0,6883000000.0,406461161.765,-70000000.0,-461000000.0,249250000.0,2971000000.0,-375750000.0,3780750000.0,-18637037.5,1740809854.17,964750000.0,12753500000.0,3607750000.0,1687699266.67,-159250000.0,-280062115.385,1399000000.0,158750000.0,853500000.0,804500000.0,1056107419.12,800000000.0,3105750000.0,0.0,3879750000.0,1227000000.0,49806250000.0,685507485.294,19235500000.0,472500000.0,8235000000.0,57594250000.0,5636500000.0,4715750000.0,27680000000.0,9764250000.0,2785250000.0,15724500000.0,368500000.0,29914250000.0,-994750000.0
444,41,-7530250000.0,4058750000.0,4058750000.0,787250000.0,-6883000000.0,7049500000.0,4067750000.0,-95250000.0,-95250000.0,-8750000.0,51500000.0,2934250000.0,-426750000.0,2648250000.0,-31500000.0,1740809854.17,2947118423.91,12173000000.0,575250000.0,1687699266.67,-759750000.0,-280062115.385,1629250000.0,922250000.0,-301750000.0,-301750000.0,1906000000.0,1141250000.0,1566000000.0,0.0,4489250000.0,285933333.333,39604250000.0,1497500000.0,12982250000.0,1178000000.0,7235750000.0,55459500000.0,8013750000.0,6207500000.0,35380500000.0,14121500000.0,2813750000.0,15107250000.0,167500000.0,20079000000.0,-870000000.0
445,60,-2311750000.0,1301000000.0,1301000000.0,-356500000.0,-1933500000.0,2364000000.0,1600250000.0,-496250000.0,-888000000.0,388000000.0,437500000.0,17729750000.0,-267500000.0,2400000000.0,-3000000.0,1740809854.17,5990250000.0,4297000000.0,2175750000.0,957750000.0,-224250000.0,250000000.0,180250000.0,71000000.0,1466250000.0,1466250000.0,672500000.0,456250000.0,687579916.667,196899107.143,155000000.0,285933333.333,8565250000.0,532000000.0,10121500000.0,1270750000.0,890500000.0,27074250000.0,10888500000.0,4210250000.0,9786000000.0,3869250000.0,5062250000.0,22026750000.0,505500000.0,17288250000.0,-11017116034.5
446,74,-430025000.0,1352675000.0,1626300000.0,-421300000.0,-369400000.0,730625000.0,284150000.0,406461161.765,-546550000.0,238200000.0,2800000.0,6085600000.0,-14000000.0,1051625000.0,-19825000.0,1740809854.17,2231300000.0,2482650000.0,857025000.0,655933333.333,-100750000.0,-27950000.0,651000000.0,-79900000.0,695725000.0,695725000.0,260375000.0,479975000.0,45000000.0,196899107.143,214925000.0,0.0,1816550000.0,685507485.294,4485475000.0,1158375000.0,19400000.0,11915225000.0,7115050000.0,3594575000.0,6745100000.0,2250800000.0,2208000000.0,8568250000.0,149950000.0,5170125000.0,-1790200000.0
447,85,-10854500000.0,1395750000.0,1462750000.0,-168250000.0,-3327250000.0,4497000000.0,2638000000.0,-153500000.0,-153500000.0,52750000.0,7000000.0,10096500000.0,-548000000.0,1392000000.0,-18637037.5,156000000.0,2947118423.91,5505500000.0,1642000000.0,1687699266.67,-109250000.0,449250000.0,1777750000.0,1001500000.0,903500000.0,594250000.0,902500000.0,197000000.0,3562500000.0,0.0,2086250000.0,3062000000.0,35529750000.0,685507485.294,1054000000.0,465500000.0,3468750000.0,41494750000.0,4312250000.0,6181500000.0,25222000000.0,11705750000.0,2302000000.0,15602000000.0,211000000.0,16272750000.0,-41000000.0
448,100,-1123406250.0,26250250.0,33273750.0,96573250.0,-959045250.0,853723250.0,524112750.0,-34754250.0,-37723000.0,1841000.0,36870250.0,359945000.0,-21943750.0,278520250.0,-18637037.5,1411666.66667,2947118423.91,1165979750.0,246682750.0,1687699266.67,-69959500.0,-15948500.0,981729500.0,-8748750.0,159594750.0,159594750.0,36431500.0,2794750.0,3526000.0,0.0,157648500.0,285933333.333,4429374750.0,30208500.0,1489588750.0,103275500.0,694128500.0,4841650500.0,352114000.0,423601500.0,2695763000.0,1215250000.0,187418250.0,1525924750.0,37500000.0,2145887500.0,-120379000.0
449,103,-14502000000.0,5176500000.0,5576750000.0,-7623250000.0,-10006000000.0,16597500000.0,7292500000.0,-208250000.0,-308750000.0,-292750000.0,17750000.0,32284250000.0,-3442250000.0,11195250000.0,-66250000.0,1974500000.0,3332000000.0,24990750000.0,11689250000.0,745000000.0,-730750000.0,-6750000.0,428500000.0,-1098000000.0,9222250000.0,9222250000.0,2260500000.0,627483895.161,0.0,0.0,16625250000.0,285933333.333,74928500000.0,1453750000.0,42512750000.0,890000000.0,7309250000.0,1.262425e+11,22074500000.0,18044250000.0,71935750000.0,21459000000.0,10250500000.0,57275000000.0,684750000.0,54306750000.0,-35531750000.0
450,116,-32707500000.0,16458250000.0,16758250000.0,-7392250000.0,-29446750000.0,36596000000.0,14325750000.0,406461161.765,49000000.0,-823000000.0,1832000000.0,1.5979675e+11,-7160000000.0,30062750000.0,-75750000.0,7219250000.0,4628500000.0,64106000000.0,33049000000.0,1687699266.67,-235686689.394,449750000.0,1146000000.0,-318750000.0,23434500000.0,23434500000.0,2879000000.0,1170500000.0,0.0,-265000000.0,30112250000.0,0.0,1.529895e+11,1697500000.0,1.6469825e+11,4618250000.0,13033250000.0,2.4055875e+11,50359000000.0,33189000000.0,1.00047e+11,16490500000.0,20287000000.0,2.2390275e+11,2417750000.0,1.4051175e+11,-36148000000.0
451,131,-1116789750.0,312457750.0,1267122250.0,-328063750.0,-927177000.0,1197548250.0,409025000.0,36436500.0,34413750.0,60009750.0,1439500.0,66472000.0,-489218250.0,874226500.0,-18637037.5,1740809854.17,2947118423.91,2944532750.0,846695750.0,1687699266.67,-51562250.0,147783750.0,981729500.0,-57692500.0,654679000.0,654679000.0,230937500.0,4822000.0,0.0,0.0,196130750.0,0.0,5486405250.0,685507485.294,2649596250.0,69142500.0,542869250.0,7653041500.0,1935698750.0,628766250.0,3153472000.0,1807651000.0,499202750.0,3011004750.0,166638666.667,4499569500.0,-136352000.0
452,139,-8991750000.0,4434500000.0,5396000000.0,246500000.0,-6338750000.0,5649250000.0,2789500000.0,406461161.765,-444107032.258,-35381965.0538,40750000.0,2131250000.0,-392750000.0,2223750000.0,-9500000.0,1740809854.17,6063250000.0,10596000000.0,2045250000.0,1687699266.67,-411000000.0,-22000000.0,2401000000.0,-452500000.0,1521250000.0,1521250000.0,1023000000.0,603250000.0,781500000.0,0.0,2593750000.0,285933333.333,29208250000.0,685507485.294,16031750000.0,3517750000.0,4107000000.0,44489250000.0,8194750000.0,6332750000.0,23302750000.0,8052500000.0,1678500000.0,12727250000.0,3124500000.0,21186500000.0,-11017116034.5
453,151,-7403340000.0,1224395750.0,1224395750.0,311657500.0,-6425637000.0,6448439000.0,3321025250.0,-114273500.0,-224758750.0,329644750.0,203409250.0,1938428250.0,-206780500.0,3127535000.0,-9869500.0,1740809854.17,2947118423.91,11644374000.0,2905685000.0,1687699266.67,-215208250.0,-280062115.385,981729500.0,324590000.0,1693499500.0,1693499500.0,308114250.0,214488250.0,386199000.0,0.0,874627750.0,285933333.333,24986996250.0,223576500.0,11724087750.0,3567302250.0,4754939500.0,29378075000.0,4082964500.0,2923100250.0,14613897750.0,5681191000.0,1669549750.0,13582802250.0,104934250.0,14764177250.0,-36029750.0
454,154,-1713598500.0,734094000.0,734094000.0,556639750.0,-1357143750.0,1069861250.0,548570750.0,-37314250.0,-9112500.0,27306500.0,1817753500.0,355515000.0,-101340000.0,600526750.0,-18637037.5,1740809854.17,2947118423.91,1402678000.0,530841750.0,1687699266.67,-150084750.0,29947000.0,726142500.0,269357250.0,360175250.0,360175250.0,276047000.0,92678000.0,251151500.0,0.0,292092500.0,285933333.333,8069074250.0,13875250.0,2456130250.0,191212500.0,663615000.0,9869883500.0,1425681500.0,683065750.0,5916070250.0,2585959750.0,228925500.0,1758193000.0,104923000.0,3953813250.0,-453041750.0
455,158,-1443625000.0,437050000.0,638875000.0,358550000.0,-2251025000.0,1638875000.0,444300000.0,406461161.765,-444107032.258,-35381965.0538,23975000.0,1778975000.0,-467250000.0,379200000.0,250000.0,1740809854.17,2524525000.0,2052125000.0,278075000.0,1687699266.67,-134925000.0,189325000.0,6525000.0,-96475000.0,-178575000.0,-178575000.0,402575000.0,479400000.0,0.0,0.0,562750000.0,285933333.333,13103325000.0,685507485.294,5523875000.0,146550000.0,1808450000.0,17999225000.0,1968800000.0,1118550000.0,7066150000.0,5070125000.0,850525000.0,3831100000.0,75575000.0,10933075000.0,-38575000.0
456,182,-412791750.0,1078509750.0,1357724250.0,147658000.0,-527293500.0,566465250.0,2600658435.71,406461161.765,-444107032.258,-12758750.0,93250.0,2330299000.0,-1094885870.97,171616250.0,-7738500.0,-1704000.0,75214500.0,878589750.0,179213500.0,118326000.0,-4463500.0,-98051750.0,981729500.0,179091250.0,153531250.0,153531250.0,940711000.0,354944750.0,227558500.0,196899107.143,509739500.0,285933333.333,1532182000.0,137813000.0,1829566000.0,304389250.0,566465250.0,6433561750.0,3107203750.0,1166063750.0,2238563500.0,361787250.0,674711000.0,3208888750.0,54828750.0,4194998250.0,-11017116034.5
457,183,-349525000.0,431000000.0,431000000.0,61175000.0,-472575000.0,497775000.0,174075000.0,-314500000.0,-438875000.0,183075000.0,2150000.0,5092575000.0,-1094885870.97,745825000.0,-5550000.0,1740809854.17,499075000.0,1487225000.0,734875000.0,268400000.0,-26300000.0,-280062115.385,17475000.0,80825000.0,507775000.0,507775000.0,131000000.0,392525000.0,1174075000.0,-7325000.0,207800000.0,0.0,1204725000.0,110850000.0,2962450000.0,630550000.0,-14775000.0,5988775000.0,3683900000.0,2400400000.0,3980025000.0,1060850000.0,1835025000.0,6579800000.0,175550000.0,2008750000.0,-1193050000.0
458,203,-3184000000.0,2457250000.0,2457250000.0,-530750000.0,-3221500000.0,3961750000.0,1753250000.0,406461161.765,-1313250000.0,416250000.0,2681000000.0,24042500000.0,-415250000.0,4282750000.0,13750000.0,1740809854.17,2102250000.0,4858500000.0,3936750000.0,1687699266.67,-235686689.394,135000000.0,27000000.0,223250000.0,2774750000.0,2774750000.0,2040000000.0,718500000.0,1200750000.0,196899107.143,2138250000.0,285933333.333,10636500000.0,685507485.294,18178250000.0,299500000.0,1180500000.0,28137500000.0,13358750000.0,4945500000.0,13434750000.0,6324000000.0,6154000000.0,28901000000.0,1005507311.83,14702750000.0,-6250750000.0
459,213,-6416000000.0,1312750000.0,1312750000.0,-1526000000.0,-3259500000.0,4994500000.0,2787500000.0,-148250000.0,-143000000.0,55250000.0,323250000.0,5915250000.0,-211250000.0,2806250000.0,-18637037.5,-1073000000.0,2060000000.0,8169250000.0,3421750000.0,1687699266.67,-382750000.0,-280062115.385,92000000.0,209000000.0,2774250000.0,2774250000.0,617000000.0,1912750000.0,134750000.0,0.0,3661250000.0,285933333.333,27451750000.0,1034000000.0,18707500000.0,816000000.0,2160750000.0,40977250000.0,8003000000.0,6972750000.0,19344500000.0,6167000000.0,3736750000.0,14084500000.0,321250000.0,21632750000.0,-11017116034.5
