,Symbol,Sector
235,HUM,Healthcare
236,IBM,Technology
237,ICE,Financials
238,IFF,Non-Cyclical Consumer Goods & Services
239,INTC,Technology
240,INTU,Technology
241,IP,Basic Materials
242,IPG,Cyclical Consumer Goods & Services
243,IR,Industrials
244,IRM,Financials
245,ISRG,Healthcare
246,ITW,Industrials
247,IVZ,Financials
248,JBHT,Industrials
249,JCI,Cyclical Consumer Goods & Services
250,JEC,Industrials
251,JNJ,Healthcare
252,JNPR,Technology
253,JOY,Basic Materials
254,JPM,Financials
255,JWN,Cyclical Consumer Goods & Services
256,K,Non-Cyclical Consumer Goods & Services
257,KEY,Financials
258,KHC,Non-Cyclical Consumer Goods & Services
259,KIM,Financials
260,KLAC,Technology
261,KMB,Non-Cyclical Consumer Goods & Services
262,KMI,Energy
263,KMX,Cyclical Consumer Goods & Services
264,KO,Non-Cyclical Consumer Goods & Services
265,KORS,Cyclical Consumer Goods & Services
266,KR,Non-Cyclical Consumer Goods & Services
267,KSS,Cyclical Consumer Goods & Services
268,KSU,Industrials
269,L,None Found
270,LB,Cyclical Consumer Goods & Services
271,LEG,Cyclical Consumer Goods & Services
272,LEN,Cyclical Consumer Goods & Services
273,LH,Healthcare
274,LLL,Industrials
275,LLTC,Technology
276,LLY,Healthcare
277,LM,Financials
278,LMT,Industrials
279,LNC,Financials
280,LOW,Cyclical Consumer Goods & Services
281,LRCX,Technology
282,LUK,Financials
283,LUV,Industrials
284,LVLT,Telecommunications Services
285,LYB,Basic Materials
286,M,Cyclical Consumer Goods & Services
287,MA,Industrials
288,MAC,Technology
289,MAR,Cyclical Consumer Goods & Services
290,MAS,Cyclical Consumer Goods & Services
291,MAT,Cyclical Consumer Goods & Services
292,MCD,Cyclical Consumer Goods & Services
293,MCHP,Technology
294,MCK,Non-Cyclical Consumer Goods & Services
295,MCO,Industrials
296,MDLZ,Non-Cyclical Consumer Goods & Services
297,MDT,Healthcare
298,MET,Financials
299,MHFI,Industrials
300,MHK,Cyclical Consumer Goods & Services
301,MJN,Non-Cyclical Consumer Goods & Services
302,MKC,Non-Cyclical Consumer Goods & Services
303,MLM,Basic Materials
304,MMC,Financials
305,MMM,Industrials
306,MNK,Healthcare
307,MNST,Financials
308,MO,Non-Cyclical Consumer Goods & Services
309,MON,Non-Cyclical Consumer Goods & Services
310,MOS,Basic Materials
311,MPC,Energy
312,MRK,Healthcare
313,MRO,Energy
314,MS,Financials
315,MSFT,Technology
316,MSI,Technology
317,MTB,Financials
318,MU,Technology
319,MUR,Energy
320,MYL,Healthcare
321,NAVI,Financials
322,NBL,Energy
323,NDAQ,Financials
324,NEE,Utilities
325,NEM,Basic Materials
326,NFLX,Technology
327,NFX,Energy
328,NI,None Found
329,NKE,Cyclical Consumer Goods & Services
330,NLSN,None Found
331,NOC,Industrials
